Parcel,Code,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
IND026,ARTRT,1,,0,,0,,10,,9,,0,,16,,6,,,,,,,,,
IND026,ERNA10,12,,0,,0,,0,,0,,0,,3,,0,,,,,,,,,
IND026,ATPO,0,,0,,14,,0,,0,,0,,0,,0,,,,,,,,,
IND026,SPAI,6,,0,,0,,0,,4,,2,,0,,0,,,,,,,,,
IND026,GLLE3,6,,0,,0,,0,,1,,0,,0,,0,,,,,,,,,
IND026,ATCA2,0,,0,,0,,0,,0,,0,,1,,0,,,,,,,,,
IND026,ATCO,0,,0,,1,,0,,0,,0,,0,,0,,,,,,,,,
IND026,DISP,1,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,
IND029,ARTRT,1,,24,,9,,1,20,,,,,,,,,,,,,,,,
IND029,ATPO,0,,0,,0,,16,0,,,,,,,,,,,,,,,,
IND029,POFR2,0,,0,,13,,0,0,,,,,,,,,,,,,,,,
IND029,ATTO,9,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,ERNA10,0,,0,,4,,0,1,,,,,,,,,,,,,,,,
IND029,SPAI,3,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,GLLE3,0,,0,,1,,0,0,,,,,,,,,,,,,,,,
IND029,AMAC2,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,ARDO3,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,CORA5,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,DISP,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,ENAC,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,ERBR7,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,FOPU2,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
IND029,GUMI,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
